date,weekday,platform,time_cet,content_id,content_type,media_file,caption,hashtags,status,notes
2026-06-16,Mon,instagram,20:00,8,reel,output/seniorease-script-en-8-*.mp4,"A calm app for real collectors. Simple, clear, private — link in bio.","#simpleui #calmtech #seniorease #androidapp #collectors",pending,
2026-06-17,Tue,tiktok,19:30,curated-playstore,reel,curated/en/seniorease-playstore.mp4,"Scan, organize, track, export — no account needed. Download SeniorEase on Google Play.","#seniorease #googleplay #androidapp #bookcollection #organisation #nosubscription",pending,
2026-06-17,Tue,instagram,20:00,curated-playstore,reel,curated/en/seniorease-playstore.mp4,"Books, music, DVDs and games — all in one app. No subscription. Link in bio.","#seniorease #googleplay #androidapp #bookcollection #collectors",pending,
2026-06-18,Wed,tiktok,19:30,9,reel,output/seniorease-script-en-9-*.mp4,"From messy notes to one searchable collection. Try SeniorEase free.","#organize #collection #books #android #seniorease",pending,
2026-06-18,Wed,instagram,20:00,9,reel,output/seniorease-script-en-9-*.mp4,"Finally one clear overview. Try free — link in bio.","#organize #bookcollection #seniorease #android #productivity",pending,
2026-06-19,Thu,tiktok,19:30,10,reel,output/seniorease-script-en-10-*.mp4,"Collecting for years? Keep everything in one place. Download SeniorEase on Google Play.","#collecting #vinylcollection #bookcollection #seniorease",pending,
2026-06-19,Thu,instagram,20:00,10,reel,output/seniorease-script-en-10-*.mp4,"Built for collectors, not clutter. Link in bio.","#collectorlife #books #vinyl #seniorease #androidapp",pending,
2026-06-20,Fri,tiktok,19:30,11,reel,output/seniorease-script-en-11-*.mp4,"""This book looks familiar..."" Scan and check before buying. Download SeniorEase.","#books #bookstore #scan #android #seniorease",pending,
2026-06-20,Fri,instagram,20:00,11,reel,output/seniorease-script-en-11-*.mp4,"Not sure? Scan first. Link in bio.","#bookshopping #booktok #seniorease #scan #androidapp",pending,
2026-06-23,Mon,tiktok,19:30,12,reel,output/seniorease-script-en-12-*.mp4,"Stop typing manually. Scan barcodes instead. Download SeniorEase on Google Play.","#barcode #timesaver #collectionapp #android #seniorease",pending,
2026-06-23,Mon,instagram,20:00,12,reel,output/seniorease-script-en-12-*.mp4,"Stop typing. Start scanning. Link in bio.","#barcode #timesaver #seniorease #androidapp #collection",pending,
2026-06-24,Tue,tiktok,19:30,13,reel,output/seniorease-script-en-13-*.mp4,"Your collection stays yours: no account, no ads. SeniorEase on Android.","#privacyfirst #noads #androidapp #seniorease #offline",pending,
2026-06-24,Tue,instagram,20:00,13,reel,output/seniorease-script-en-13-*.mp4,"Private and simple. As it should be. Link in bio.","#privacyfirst #noads #seniorease #android #offline",pending,
2026-06-25,Wed,tiktok,19:30,14,reel,output/seniorease-script-en-14-*.mp4,"Try first: up to 10 items free, no time limit. Start today.","#freeapp #androidapps #books #collectors #seniorease",pending,
2026-06-25,Wed,instagram,20:00,14,reel,output/seniorease-script-en-14-*.mp4,"Try calmly before deciding. 10 items free — link in bio.","#freeapp #androidapps #seniorease #books #collectors",pending,
2026-06-26,Thu,tiktok,19:30,15,reel,output/seniorease-script-en-15-*.mp4,"At a record fair? Scan first to avoid duplicates. Download SeniorEase on Google Play.","#recordfair #vinylrecords #collection #androidapp #seniorease",pending,
2026-06-26,Thu,instagram,20:00,15,reel,output/seniorease-script-en-15-*.mp4,"Perfect for fairs and markets. Scan the sleeve — link in bio.","#recordfair #vinylrecords #seniorease #vinyl #androidapp",pending,
2026-06-27,Fri,tiktok,19:30,16,reel,output/seniorease-script-en-16-*.mp4,"Filter and sort your collection in one tap. Download SeniorEase.","#filter #sorting #androidapp #seniorease #productivity",pending,
2026-06-27,Fri,instagram,20:00,16,reel,output/seniorease-script-en-16-*.mp4,"Find the right item in seconds. Link in bio.","#filter #organize #seniorease #androidapp #collection",pending,
2026-06-30,Mon,tiktok,19:30,17,reel,output/seniorease-script-en-17-*.mp4,"Export your collection to PDF or CSV in one tap. Download SeniorEase on Google Play.","#export #pdf #csv #collectionmanagement #seniorease",pending,
2026-06-30,Mon,instagram,20:00,17,reel,output/seniorease-script-en-17-*.mp4,"Great for sharing or printing too. Export PDF/CSV — link in bio.","#export #pdf #seniorease #collection #androidapp",pending,
2026-07-01,Tue,tiktok,19:30,18,reel,output/seniorease-script-en-18-*.mp4,"Built for collectors who want calm and privacy. Try free on Google Play.","#collectors #privacy #simpleapp #android #seniorease",pending,
2026-07-01,Tue,instagram,20:00,18,reel,output/seniorease-script-en-18-*.mp4,"Made for real collectors. Link in bio.","#collectors #privacy #seniorease #androidapp #calmtech",pending,
2026-07-02,Wed,tiktok,19:30,19,reel,output/seniorease-script-en-19-*.mp4,"Still unsure? 14-day money-back guarantee. Try risk-free.","#riskfree #refund #androidapp #seniorease #googleplay",pending,
2026-07-02,Wed,instagram,20:00,19,reel,output/seniorease-script-en-19-*.mp4,"Try with peace of mind. Link in bio.","#riskfree #seniorease #androidapp #googleplay #collectors",pending,
2026-07-03,Thu,tiktok,19:30,20,reel,output/seniorease-script-en-20-*.mp4,"Stop buying duplicates. Scan. Check. Done. Download SeniorEase on Google Play.","#duplicates #books #vinyl #googleplay #seniorease",pending,
2026-07-03,Thu,instagram,20:00,20,reel,output/seniorease-script-en-20-*.mp4,"Short, simple, effective. Never buy the same item twice — link in bio.","#duplicates #books #vinyl #seniorease #googleplay",pending,
